taskname	maxRank	T1	targetclass	meanTrainInfo	meanTestInfo	stdTestInfo	RuleLength	ExtraOptions
Thyroid_Disease	 2	 1	 2	 240.86	 229.53	 20.81	 1.95	 stabilize=yes, prune=yes, postStabilize=no	
Thyroid_Disease	 2	 1	 1	 133.24	 129.97	 10.13	 1.00	 stabilize=yes, prune=yes, postStabilize=yes	
Thyroid_Disease	 2	 1	 2	 241.86	 232.48	 21.41	 1.97	 stabilize=yes, prune=yes, postStabilize=yes	
Wdbc	 2	 1	 1	 124.62	 109.39	 10.34	 1.86	 stabilize=no, prune=no, postStabilize=no	
Wdbc	 2	 1	 2	 123.36	 102.34	 7.61	 1.88	 stabilize=no, prune=no, postStabilize=no	
Wdbc	 2	 1	 1	 132.11	 109.34	 11.07	 1.99	 stabilize=yes, prune=no, postStabilize=no	
Wdbc	 2	 1	 2	 126.66	 101.31	 7.42	 1.93	 stabilize=yes, prune=no, postStabilize=no	
Wdbc	 2	 1	 1	 127.47	 111.10	 12.51	 1.78	 stabilize=yes, prune=yes, postStabilize=no	
Wdbc	 2	 1	 2	 121.81	 104.07	 7.21	 1.67	 stabilize=yes, prune=yes, postStabilize=no	
Wdbc	 2	 1	 1	 128.24	 110.05	 10.68	 1.77	 stabilize=yes, prune=yes, postStabilize=yes	
Wdbc	 2	 1	 2	 122.75	 102.07	 8.17	 1.66	 stabilize=yes, prune=yes, postStabilize=yes	
Wisconsin_Breast_Cancer	 2	 1	 1	 157.11	 142.75	 10.12	 2.00	 stabilize=no, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 2	 1	 2	 153.98	 139.99	 11.83	 1.95	 stabilize=no, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 2	 1	 1	 159.02	 142.15	 9.19	 1.99	 stabilize=yes, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 2	 1	 2	 154.50	 139.78	 12.12	 1.94	 stabilize=yes, prune=no, postStabilize=no	
Wisconsin_Breast_Cancer	 2	 1	 1	 156.68	 140.55	 9.90	 1.84	 stabilize=yes, prune=yes, postStabilize=no	
Wisconsin_Breast_Cancer	 2	 1	 2	 151.71	 136.22	 13.93	 1.76	 stabilize=yes, prune=yes, postStabilize=no	
Wisconsin_Breast_Cancer	 2	 1	 1	 156.83	 141.89	 9.09	 1.88	 stabilize=yes, prune=yes, postStabilize=yes	
Wisconsin_Breast_Cancer	 2	 1	 2	 151.46	 137.68	 13.59	 1.82	 stabilize=yes, prune=yes, postStabilize=yes	
Wpbc	 2	 1	 1	 8.87	 1.21	 1.08	 1.76	 stabilize=no, prune=no, postStabilize=no	
Wpbc	 2	 1	 2	 10.91	 1.04	 1.05	 1.91	 stabilize=no, prune=no, postStabilize=no	
Wpbc	 2	 1	 1	 9.82	 1.35	 1.08	 1.84	 stabilize=yes, prune=no, postStabilize=no	
Wpbc	 2	 1	 2	 12.46	 1.12	 1.00	 1.93	 stabilize=yes, prune=no, postStabilize=no	
Wpbc	 2	 1	 1	 7.16	 1.43	 1.07	 1.43	 stabilize=yes, prune=yes, postStabilize=no	
Wpbc	 2	 1	 2	 8.87	 1.06	 1.00	 1.58	 stabilize=yes, prune=yes, postStabilize=no	
Wpbc	 2	 1	 1	 7.73	 1.42	 1.27	 1.45	 stabilize=yes, prune=yes, postStabilize=yes	
Wpbc	 2	 1	 2	 9.59	 1.30	 1.11	 1.65	 stabilize=yes, prune=yes, postStabilize=yes	
faults	 2	 1	 1	 143.50	 129.87	 13.56	 1.97	 stabilize=no, prune=no, postStabilize=no	
faults	 2	 1	 2	 124.30	 108.64	 10.20	 1.29	 stabilize=no, prune=no, postStabilize=no	
faults	 2	 1	 1	 152.16	 132.37	 13.41	 1.99	 stabilize=yes, prune=no, postStabilize=no	
faults	 2	 1	 2	 144.85	 130.20	 16.25	 1.70	 stabilize=yes, prune=no, postStabilize=no	
faults	 2	 1	 1	 150.33	 132.12	 14.04	 1.97	 stabilize=yes, prune=yes, postStabilize=no	
faults	 2	 1	 2	 145.34	 130.39	 18.56	 1.36	 stabilize=yes, prune=yes, postStabilize=no	
faults	 2	 1	 1	 151.42	 131.96	 14.69	 1.98	 stabilize=yes, prune=yes, postStabilize=yes	
faults	 2	 1	 2	 145.88	 132.70	 18.86	 1.43	 stabilize=yes, prune=yes, postStabilize=yes	
statlog	 2	 1	 1	 335.44	 334.36	 22.41	 1.37	 stabilize=no, prune=no, postStabilize=no	
statlog	 2	 1	 2	 341.91	 339.44	 23.37	 1.63	 stabilize=no, prune=no, postStabilize=no	
statlog	 2	 1	 1	 347.77	 339.48	 19.23	 1.59	 stabilize=yes, prune=no, postStabilize=no	
statlog	 2	 1	 2	 357.43	 344.69	 22.71	 1.99	 stabilize=yes, prune=no, postStabilize=no	
statlog	 2	 1	 1	 349.90	 343.16	 18.28	 1.15	 stabilize=yes, prune=yes, postStabilize=no	
statlog	 2	 1	 2	 363.66	 348.61	 18.96	 1.82	 stabilize=yes, prune=yes, postStabilize=no	
statlog	 2	 1	 1	 350.32	 343.35	 16.55	 1.14	 stabilize=yes, prune=yes, postStabilize=yes	
statlog	 2	 1	 2	 362.80	 349.02	 18.77	 1.73	 stabilize=yes, prune=yes, postStabilize=yes	
waveform	 2	 1	 1	 509.23	 486.95	 27.66	 2.00	 stabilize=no, prune=no, postStabilize=no	
waveform	 2	 1	 2	 534.66	 519.43	 34.02	 2.00	 stabilize=no, prune=no, postStabilize=no	
waveform	 2	 1	 1	 515.93	 490.51	 20.41	 2.00	 stabilize=yes, prune=no, postStabilize=no	
